league	club	playerIndex	player	age	value	wage	method
en	Man City	80	Given	34	3900000	300000	fifa11-club
en	Man City	93	Kolarov	24	4600000	350000	fifa11-club
en	Man City	87	Wright-Phillips	28	9000000	700000	fifa11-club
en	Man City	94	Jong	25	8000000	600000	fifa11-club
en	Man City	95	Vieira	34	3000000	200000	fifa11-club
en	Man City	96	Milner	24	5700000	450000	fifa11-club
en	Man City	97	Johnson	22	6000000	450000	fifa11-club
en	Man City	89	Adebayor	26	10700000	800000	fifa11-club
en	Man City	99	Santa Cruz	29	8500000	650000	fifa11-club
en	Man City	419	Richards	22	9700000	750000	audited-addition
en	Man City	420	Bridge	30	4100000	300000	audited-addition
en	Man City	421	Boyata	19	3500000	250000	audited-addition
en	Man City	422	Jo	23	6100000	450000	audited-addition
en	Man City	423	Taylor	29	2600000	200000	audited-addition
en	Aston Villa	100	Friedel	39	5200000	400000	fifa11-club
en	Aston Villa	104	Warnock	28	4800000	350000	fifa11-club
en	Aston Villa	103	Cuellar	29	2200000	150000	fifa11-club
en	Aston Villa	101	Young	31	1600000	100000	fifa11-club
en	Aston Villa	102	Dunne	30	1800000	150000	fifa11-club
en	Aston Villa	105	Albrighton	20	6300000	450000	fifa11-club
en	Aston Villa	108	Downing	26	6000000	450000	fifa11-club
en	Aston Villa	106	Petrov	31	3400000	250000	fifa11-club
en	Aston Villa	107	Reo-Coker	26	4500000	350000	fifa11-club
en	Aston Villa	109	Agbonlahor	23	7000000	500000	fifa11-club
en	Aston Villa	110	Carew	30	3900000	300000	fifa11-club
en	Aston Villa	111	Guzan	25	800000	50000	fifa11-club
en	Aston Villa	118	Collins	27	1600000	100000	fifa11-club
en	Aston Villa	116	Davies	25	1900000	150000	fifa11-club
en	Aston Villa	119	Beye	32	900000	50000	fifa11-club
en	Aston Villa	113	Clark	20	1300000	100000	fifa11-club
en	Aston Villa	114	Ireland	24	1800000	150000	fifa11-club
en	Aston Villa	112	Delph	20	1800000	150000	fifa11-club
en	Aston Villa	117	Delfouneso	19	2400000	200000	fifa11-club
en	Aston Villa	115	Heskey	32	1000000	100000	fifa11-club
en	Aston Villa	424	Luke Young	31	1600000	100000	audited-addition
en	Aston Villa	425	Bannan	20	1600000	100000	audited-addition
en	Aston Villa	426	Lichaj	21	600000	50000	audited-addition
en	Aston Villa	427	Osbourne	22	800000	50000	audited-addition
en	Liverpool	120	Reina	28	21600000	1600000	fifa11-club
en	Liverpool	121	Johnson	26	12900000	950000	fifa11-club
en	Liverpool	123	Carragher	32	3700000	300000	fifa11-club
en	Liverpool	122	Skrtel	25	6800000	500000	fifa11-club
en	Liverpool	124	Konchesky	29	4500000	350000	fifa11-club
en	Liverpool	127	Gerrard	30	28500000	2150000	fifa11-club
en	Liverpool	125	Meireles	27	12500000	950000	fifa11-club
en	Liverpool	134	Lucas	23	13400000	1000000	fifa11-club
en	Liverpool	126	Poulsen	30	4300000	300000	fifa11-club
en	Liverpool	129	Torres	26	35800000	2700000	fifa11-club
en	Liverpool	130	Kuyt	30	10100000	750000	fifa11-club
en	Liverpool	131	B. Jones	28	2700000	200000	fifa11-club
en	Liverpool	133	Aurelio	30	4100000	300000	fifa11-club
en	Liverpool	132	Kyrgiakos	31	2100000	150000	fifa11-club
en	Liverpool	128	Jovanovic	29	3600000	250000	fifa11-club
en	Liverpool	138	Rodriguez	29	3100000	250000	fifa11-club
en	Liverpool	139	Shelvey	18	4700000	350000	fifa11-club
en	Liverpool	135	J. Cole	28	2900000	200000	fifa11-club
en	Liverpool	136	Babel	23	7000000	500000	fifa11-club
en	Liverpool	137	N'Gog	21	4600000	350000	fifa11-club
en	Liverpool	428	Agger	25	13500000	1000000	audited-addition
en	Liverpool	429	Kelly	20	3800000	300000	audited-addition
en	Liverpool	430	Spearing	21	3100000	250000	audited-addition
en	Liverpool	431	Pacheco	19	3800000	300000	audited-addition
en	Liverpool	432	Darby	21	1900000	150000	audited-addition
en	Everton	140	Howard	31	8100000	600000	fifa11-club
en	Everton	144	Baines	25	15000000	1100000	fifa11-club
en	Everton	154	Jagielka	28	8500000	650000	fifa11-club
en	Everton	141	Hibbert	29	2500000	200000	fifa11-club
en	Everton	149	Cahill	30	9700000	750000	fifa11-club
en	Everton	146	Arteta	28	10300000	750000	fifa11-club
en	Everton	145	Fellaini	22	12000000	900000	fifa11-club
en	Everton	148	Osman	29	4100000	300000	fifa11-club
en	Everton	147	Neville	33	1700000	150000	fifa11-club
en	Everton	150	Saha	32	3200000	250000	fifa11-club
en	Everton	142	Anichebe	22	4500000	350000	fifa11-club
en	Everton	151	Mucha	27	1200000	100000	fifa11-club
en	Everton	143	Coleman	22	3200000	250000	fifa11-club
en	Everton	153	Distin	32	1400000	100000	fifa11-club
en	Everton	155	Heitinga	26	1600000	100000	fifa11-club
en	Everton	157	Rodwell	19	3200000	250000	fifa11-club
en	Everton	156	Pienaar	28	1600000	100000	fifa11-club
en	Everton	152	Bilyaletdinov	25	1600000	100000	fifa11-club
en	Everton	159	Yakubu	27	2200000	150000	fifa11-club
en	Everton	158	Beckford	26	1600000	100000	fifa11-club
en	Everton	433	Baxter	18	2000000	150000	audited-addition
en	Everton	434	Gueye	20	2400000	200000	audited-addition
en	Everton	435	Duffy	18	1300000	100000	audited-addition
en	Everton	436	Turner	26	1300000	100000	audited-addition
en	Birmingham	160	Foster	27	7000000	500000	fifa11-club
en	Birmingham	165	Dann	23	5500000	400000	fifa11-club
en	Birmingham	162	R. Johnson	27	2000000	150000	fifa11-club
en	Birmingham	161	Carr	34	700000	50000	fifa11-club
en	Birmingham	163	Parnaby	28	1400000	100000	fifa11-club
en	Birmingham	164	Larsson	25	5600000	400000	fifa11-club
en	Birmingham	167	Ferguson	32	2200000	150000	fifa11-club
en	Birmingham	168	McFadden	27	3100000	250000	fifa11-club
en	Birmingham	166	Bowyer	33	1300000	100000	fifa11-club
en	Birmingham	170	Zigic	29	3100000	250000	fifa11-club
en	Birmingham	169	Jerome	23	3900000	300000	fifa11-club
en	Birmingham	171	Doyle	25	700000	50000	fifa11-club
en	Birmingham	175	Murphy	26	800000	50000	fifa11-club
en	Birmingham	172	Ridgewell	26	700000	50000	fifa11-club
en	Birmingham	174	Beausejour	26	1500000	100000	fifa11-club
en	Birmingham	179	C. Gardner	23	1700000	150000	fifa11-club
en	Birmingham	176	Fahey	27	800000	50000	fifa11-club
en	Birmingham	173	Hleb	29	600000	50000	fifa11-club
en	Birmingham	177	Derbyshire	24	1300000	100000	fifa11-club
en	Birmingham	178	Phillips	37	300000	50000	fifa11-club
en	Birmingham	437	Jiranek	31	900000	50000	audited-addition
en	Birmingham	438	Michel	24	2000000	150000	audited-addition
en	Birmingham	439	Valles	20	500000	50000	audited-addition
en	Blackburn	180	Robinson	30	2100000	150000	fifa11-club
en	Blackburn	192	Samba	26	8400000	650000	fifa11-club
en	Blackburn	182	Nelsen	32	1800000	150000	fifa11-club
en	Blackburn	184	Salgado	34	1200000	100000	fifa11-club
en	Blackburn	185	N'Zonzi	21	6200000	450000	fifa11-club
en	Blackburn	188	Pedersen	28	3900000	300000	fifa11-club
en	Blackburn	181	Emerton	31	2400000	200000	fifa11-club
en	Blackburn	187	Diouf	29	3000000	200000	fifa11-club
en	Blackburn	186	Andrews	29	2400000	200000	fifa11-club
en	Blackburn	189	Roberts	32	2700000	200000	fifa11-club
en	Blackburn	190	Kalinic	22	3600000	250000	fifa11-club
en	Blackburn	191	Brown	28	1200000	100000	fifa11-club
en	Blackburn	183	Givet	28	2100000	150000	fifa11-club
en	Blackburn	193	P. Jones	18	2000000	150000	fifa11-club
en	Blackburn	199	Olsson	22	1400000	100000	fifa11-club
en	Blackburn	195	Grella	30	1400000	100000	fifa11-club
en	Blackburn	194	Hoilett	20	1100000	100000	fifa11-club
en	Blackburn	197	Dunn	30	700000	50000	fifa11-club
en	Blackburn	196	Benjani	32	800000	50000	fifa11-club
en	Blackburn	198	M. Diouf	22	1300000	100000	fifa11-club
en	Blackburn	440	Bunn	25	900000	50000	audited-addition
en	Blackburn	441	Chimbonda	31	1600000	100000	audited-addition
en	Blackburn	442	Hanley	18	1100000	100000	audited-addition
en	Blackburn	443	Linganzi	20	1800000	150000	audited-addition
en	Stoke City	211	Begovic	23	7700000	600000	fifa11-club
en	Stoke City	207	Wilson	23	3900000	300000	fifa11-club
en	Stoke City	204	Faye	32	1400000	100000	fifa11-club
en	Stoke City	201	Huth	26	2500000	200000	fifa11-club
en	Stoke City	203	Shawcross	22	2400000	200000	fifa11-club
en	Stoke City	208	Etherington	29	3600000	250000	fifa11-club
en	Stoke City	205	Delap	34	1700000	150000	fifa11-club
en	Stoke City	206	Whelan	26	3700000	300000	fifa11-club
en	Stoke City	212	Tuncay	28	6700000	500000	fifa11-club
en	Stoke City	209	Fuller	30	2200000	150000	fifa11-club
en	Stoke City	210	K. Jones	25	2900000	200000	fifa11-club
en	Stoke City	200	Sorensen	34	1900000	150000	fifa11-club
en	Stoke City	202	Higginbotham	31	1100000	100000	fifa11-club
en	Stoke City	214	Wilkinson	26	1100000	100000	fifa11-club
en	Stoke City	218	Diao	33	800000	50000	fifa11-club
en	Stoke City	215	Tonge	27	1200000	100000	fifa11-club
en	Stoke City	219	Whitehead	28	800000	50000	fifa11-club
en	Stoke City	213	Pennant	27	700000	50000	fifa11-club
en	Stoke City	217	Gudjohnsen	31	1100000	100000	fifa11-club
en	Stoke City	216	Walters	26	1800000	150000	fifa11-club
en	Stoke City	444	Collins	30	1300000	100000	audited-addition
en	Stoke City	445	Sidibe	30	1300000	100000	audited-addition
en	Stoke City	446	Nash	36	500000	50000	audited-addition
en	Stoke City	447	Shotton	21	700000	50000	audited-addition
en	Fulham	220	Schwarzer	37	4600000	350000	fifa11-club
en	Fulham	231	Hangeland	29	6700000	500000	fifa11-club
en	Fulham	222	Pantsil	29	2800000	200000	fifa11-club
en	Fulham	221	Salcido	30	2300000	150000	fifa11-club
en	Fulham	223	Hughes	30	2300000	150000	fifa11-club
en	Fulham	225	Dempsey	27	4200000	300000	fifa11-club
en	Fulham	227	Gera	31	2900000	200000	fifa11-club
en	Fulham	228	Murphy	33	1700000	150000	fifa11-club
en	Fulham	226	Etuhu	28	2900000	200000	fifa11-club
en	Fulham	230	Johnson	29	6200000	450000	fifa11-club
en	Fulham	229	Zamora	29	4900000	350000	fifa11-club
en	Fulham	232	Stockdale	24	900000	50000	fifa11-club
en	Fulham	224	Senderos	25	3400000	250000	fifa11-club
en	Fulham	238	Baird	28	1200000	100000	fifa11-club
en	Fulham	239	Kelly	26	900000	50000	fifa11-club
en	Fulham	236	Greening	31	1200000	100000	fifa11-club
en	Fulham	237	Duff	31	1200000	100000	fifa11-club
en	Fulham	235	Davies	30	900000	50000	fifa11-club
en	Fulham	234	Dembele	23	1700000	150000	fifa11-club
en	Fulham	233	Kamara	29	1200000	100000	fifa11-club
en	Fulham	448	Halliche	23	2000000	150000	audited-addition
en	Fulham	449	Briggs	19	1700000	150000	audited-addition
en	Fulham	450	Dikgacoi	25	2000000	150000	audited-addition
en	Fulham	451	E. Johnson	29	2800000	200000	audited-addition
en	Sunderland	240	Mignolet	22	2400000	200000	fifa11-club
en	Sunderland	242	Ferdinand	25	4500000	350000	fifa11-club
en	Sunderland	241	Bardsley	25	1900000	150000	fifa11-club
en	Sunderland	243	Da Silva	30	1300000	100000	fifa11-club
en	Sunderland	255	Cattermole	22	6900000	500000	fifa11-club
en	Sunderland	247	Richardson	25	2800000	200000	fifa11-club
en	Sunderland	246	Henderson	20	3200000	250000	fifa11-club
en	Sunderland	248	Malbranque	30	1900000	150000	fifa11-club
en	Sunderland	245	Reid	28	2000000	150000	fifa11-club
en	Sunderland	249	Bent	26	13700000	1050000	fifa11-club
en	Sunderland	250	Gyan	24	8500000	650000	fifa11-club
en	Sunderland	251	Gordon	27	900000	50000	fifa11-club
en	Sunderland	244	Angeleri	27	1600000	100000	fifa11-club
en	Sunderland	259	Mensah	27	1500000	100000	fifa11-club
en	Sunderland	253	Bramble	29	800000	50000	fifa11-club
en	Sunderland	252	Onuoha	23	1200000	100000	fifa11-club
en	Sunderland	256	Zenden	34	800000	50000	fifa11-club
en	Sunderland	258	Elmohamady	22	1500000	100000	fifa11-club
en	Sunderland	254	Riveros	27	1000000	100000	fifa11-club
en	Sunderland	257	Welbeck	19	1900000	150000	fifa11-club
en	Sunderland	452	Turner	26	2800000	200000	audited-addition
en	Sunderland	453	Campbell	22	2700000	200000	audited-addition
en	Sunderland	454	Meyler	21	1100000	100000	audited-addition
en	Sunderland	455	Healy	31	900000	50000	audited-addition
en	Bolton	260	Jaaskelainen	35	5400000	400000	fifa11-club
en	Bolton	262	Cahill	24	13900000	1050000	fifa11-club
en	Bolton	264	Samuel	29	3300000	250000	fifa11-club
en	Bolton	261	Ricketts	28	2700000	200000	fifa11-club
en	Bolton	263	Knight	30	2300000	150000	fifa11-club
en	Bolton	268	Taylor	28	3900000	300000	fifa11-club
en	Bolton	265	M. Davies	22	5200000	400000	fifa11-club
en	Bolton	266	Muamba	22	4300000	300000	fifa11-club
en	Bolton	267	Gardner	31	2400000	200000	fifa11-club
en	Bolton	269	K. Davies	33	2000000	150000	fifa11-club
en	Bolton	270	Elmander	29	3100000	250000	fifa11-club
en	Bolton	271	Bogdan	22	1200000	100000	fifa11-club
en	Bolton	274	Steinsson	28	1400000	100000	fifa11-club
en	Bolton	272	P. Robinson	31	900000	50000	fifa11-club
en	Bolton	275	Petrov	31	1200000	100000	fifa11-club
en	Bolton	273	Cohen	26	1700000	150000	fifa11-club
en	Bolton	277	Holden	25	1600000	100000	fifa11-club
en	Bolton	276	Lee Chung-yong	22	1300000	100000	fifa11-club
en	Bolton	278	Klasnic	30	1300000	100000	fifa11-club
en	Bolton	279	Blake	34	800000	50000	fifa11-club
en	Bolton	456	O'Brien	31	1000000	100000	audited-addition
en	Bolton	457	M. Alonso	19	1300000	100000	audited-addition
en	Bolton	458	Ward	19	1000000	100000	audited-addition
en	Bolton	459	S. Davis	30	1400000	100000	audited-addition
en	Wolves	280	Hennessey	23	1700000	150000	fifa11-club
en	Wolves	281	Foley	25	3800000	300000	fifa11-club
en	Wolves	282	Stearman	23	3600000	250000	fifa11-club
en	Wolves	283	Zubar	24	2600000	200000	fifa11-club
en	Wolves	284	Elokobi	24	2700000	200000	fifa11-club
en	Wolves	298	Jarvis	24	7400000	550000	fifa11-club
en	Wolves	286	Henry	27	3100000	250000	fifa11-club
en	Wolves	287	Milijas	27	2800000	200000	fifa11-club
en	Wolves	288	Edwards	24	2900000	200000	fifa11-club
en	Wolves	290	Doyle	26	3100000	250000	fifa11-club
en	Wolves	289	Ebanks-Blake	24	2600000	200000	fifa11-club
en	Wolves	291	Ikeme	24	900000	50000	fifa11-club
en	Wolves	297	Ward	25	900000	50000	fifa11-club
en	Wolves	292	Mouyokolo	23	1000000	100000	fifa11-club
en	Wolves	293	Van Damme	26	700000	50000	fifa11-club
en	Wolves	285	Kightly	24	2500000	200000	fifa11-club
en	Wolves	295	Hunt	29	1000000	100000	fifa11-club
en	Wolves	296	Keogh	25	1500000	100000	audited-retained
en	Wolves	299	Vokes	20	1400000	100000	fifa11-unique
en	Wolves	294	Fletcher	23	1100000	100000	fifa11-club
en	Wolves	460	Berra	25	3000000	200000	audited-addition
en	Wolves	461	Craddock	35	1100000	100000	audited-addition
en	Wolves	462	Guedioura	24	2500000	200000	audited-addition
en	Wolves	463	D. Jones	25	2400000	200000	audited-addition
en	Wolves	464	Mancienne	22	3600000	250000	audited-addition
en	Wigan	300	Kirkland	29	1400000	100000	fifa11-club
en	Wigan	302	Gohouri	29	2200000	150000	fifa11-club
en	Wigan	303	Boyce	30	2000000	150000	fifa11-club
en	Wigan	301	Stam	26	1600000	100000	fifa11-club
en	Wigan	304	Figueroa	27	1500000	100000	fifa11-club
en	Wigan	317	N'Zogbia	24	9800000	750000	fifa11-club
en	Wigan	309	J. Gomez	25	4800000	350000	fifa11-club
en	Wigan	306	Thomas	25	3200000	250000	fifa11-club
en	Wigan	305	Diame	23	2500000	200000	fifa11-club
en	Wigan	310	Rodallega	25	2900000	200000	fifa11-club
en	Wigan	308	Boselli	25	2500000	200000	fifa11-club
en	Wigan	311	Al-Habsi	28	1200000	100000	fifa11-club
en	Wigan	314	Alcaraz	28	700000	50000	fifa11-club
en	Wigan	312	Caldwell	29	500000	50000	fifa11-club
en	Wigan	307	McCarthy	19	2300000	150000	fifa11-club
en	Wigan	316	Cleverley	21	1300000	100000	fifa11-club
en	Wigan	315	McArthur	22	1100000	100000	fifa11-club
en	Wigan	318	Watson	25	700000	50000	fifa11-club
en	Wigan	319	Di Santo	21	900000	50000	fifa11-club
en	Wigan	313	Moses	19	1000000	100000	fifa11-club
en	Wigan	465	Pollitt	38	400000	50000	audited-addition
en	Wigan	466	S. Caldwell	28	1500000	100000	audited-addition
en	Wigan	467	McManaman	19	1900000	150000	audited-addition
en	West Ham	320	Green	30	4300000	300000	fifa11-club
en	West Ham	324	Ilunga	28	1800000	150000	fifa11-club
en	West Ham	322	Upson	31	1000000	100000	fifa11-club
en	West Ham	321	Faubert	27	1500000	100000	fifa11-club
en	West Ham	326	Parker	29	10700000	800000	fifa11-club
en	West Ham	325	Stanislas	20	3200000	250000	fifa11-club
en	West Ham	328	Hitzlsperger	28	1600000	100000	fifa11-club
en	West Ham	327	Barrera	23	1900000	150000	fifa11-club
en	West Ham	338	Collison	21	2000000	150000	fifa11-club
en	West Ham	329	Obinna	23	4400000	350000	fifa11-club
en	West Ham	330	Cole	26	3500000	250000	fifa11-club
en	West Ham	331	Stech	20	800000	50000	fifa11-club
en	West Ham	323	Da Costa	24	1300000	100000	fifa11-club
en	West Ham	335	Spector	24	1000000	100000	fifa11-club
en	West Ham	333	Reid	22	800000	50000	fifa11-club
en	West Ham	332	Tomkins	21	600000	50000	fifa11-club
en	West Ham	339	Behrami	25	1000000	100000	fifa11-club
en	West Ham	334	Noble	23	1000000	100000	fifa11-club
en	West Ham	337	Boa Morte	33	300000	50000	fifa11-club
en	West Ham	336	Piquionne	31	500000	50000	fifa11-club
en	West Ham	468	Gabbidon	31	900000	50000	audited-addition
en	West Ham	469	Dyer	31	1200000	100000	audited-addition
en	West Ham	470	McCarthy	32	1000000	100000	audited-addition
en	West Ham	471	Jacobsen	30	1000000	100000	audited-addition
en	West Ham	472	Kurucz	22	700000	50000	audited-addition
en	Newcastle	340	Harper	35	1600000	100000	fifa11-club
en	Newcastle	341	Simpson	23	2400000	200000	fifa11-club
en	Newcastle	343	Coloccini	28	1800000	150000	fifa11-club
en	Newcastle	344	Williamson	26	1800000	150000	fifa11-club
en	Newcastle	342	Enrique	24	1900000	150000	fifa11-club
en	Newcastle	345	Nolan	28	3200000	250000	fifa11-club
en	Newcastle	349	Smith	29	2700000	200000	fifa11-club
en	Newcastle	347	Barton	27	2400000	200000	fifa11-club
en	Newcastle	357	Carroll	21	11000000	800000	fifa11-club
en	Newcastle	348	Best	23	3500000	250000	fifa11-club
en	Newcastle	350	Lovenkrands	30	2200000	150000	fifa11-club
en	Newcastle	351	Krul	22	900000	50000	fifa11-club
en	Newcastle	355	Perch	24	1300000	100000	fifa11-club
en	Newcastle	352	Taylor	26	900000	50000	fifa11-club
en	Newcastle	346	Tiote	24	2900000	200000	fifa11-club
en	Newcastle	356	Arfa	23	2100000	150000	fifa11-club
en	Newcastle	358	Gutierrez	27	1400000	100000	fifa11-club
en	Newcastle	353	Guthrie	23	1300000	100000	fifa11-club
en	Newcastle	354	Routledge	25	1000000	100000	fifa11-club
en	Newcastle	359	Ameobi	28	1500000	100000	fifa11-club
en	Newcastle	473	R. Taylor	24	3500000	250000	audited-addition
en	Newcastle	474	S. Campbell	35	1300000	100000	audited-addition
en	Newcastle	475	Gosling	20	3200000	250000	audited-addition
en	Newcastle	476	Vuckic	18	2400000	200000	audited-addition
en	Newcastle	477	Ranger	19	2200000	150000	audited-addition
en	West Brom	360	Carson	24	2300000	150000	fifa11-club
en	West Brom	364	Jara	25	2600000	200000	fifa11-club
en	West Brom	363	Cech	27	2300000	150000	fifa11-club
en	West Brom	362	Olsson	27	2000000	150000	fifa11-club
en	West Brom	361	Mattock	20	2100000	150000	fifa11-club
en	West Brom	365	Scharner	30	2400000	200000	fifa11-club
en	West Brom	366	Brunt	25	3200000	250000	fifa11-club
en	West Brom	367	Dorrans	23	2500000	200000	fifa11-club
en	West Brom	368	Morrison	24	2000000	150000	fifa11-club
en	West Brom	370	Odemwingie	29	8600000	650000	fifa11-club
en	West Brom	369	Bednar	27	3600000	250000	fifa11-club
en	West Brom	371	Myhill	27	900000	50000	fifa11-club
en	West Brom	379	Reid	29	1100000	100000	fifa11-club
en	West Brom	376	Shorey	29	1100000	100000	fifa11-club
en	West Brom	373	Zuiverloon	23	1200000	100000	fifa11-club
en	West Brom	374	Tamas	26	900000	50000	fifa11-club
en	West Brom	372	Ibanez	29	700000	50000	fifa11-club
